supplier,scenario,rts,optimised_criterion,price,late,error,lead,quality
A,balanced_improvement,CCR,price,1.34,3.0,8.0,5.0,-0.6794
A,balanced_improvement,CCR,late,1.34,3.0,8.0,5.0,-0.6794
A,balanced_improvement,CCR,error,1.34,3.0,8.0,5.0,-0.6794
A,balanced_improvement,CCR,lead,1.34,3.0,8.0,5.0,-0.6794
A,balanced_improvement,CCR,quality,1.34,3.0,8.0,5.0,-0.6794
A,balanced_improvement,CCR,ideal,1.34,3.0,8.0,5.0,-0.6794
A,balanced_improvement,CCR,nadir,1.34,3.0,8.0,5.0,-0.6794
A,cost_led_development,CCR,price,1.34,3.0,8.0,5.0,-0.6794
A,cost_led_development,CCR,late,1.34,3.0,8.0,5.0,-0.6794
A,cost_led_development,CCR,error,1.34,3.0,8.0,5.0,-0.6794
A,cost_led_development,CCR,lead,1.34,3.0,8.0,5.0,-0.6794
A,cost_led_development,CCR,quality,1.34,3.0,8.0,5.0,-0.6794
A,cost_led_development,CCR,ideal,1.34,3.0,8.0,5.0,-0.6794
A,cost_led_development,CCR,nadir,1.34,3.0,8.0,5.0,-0.6794
A,delivery_reliability_led,CCR,price,1.34,3.0,8.0,5.0,-0.6794
A,delivery_reliability_led,CCR,late,1.34,3.0,8.0,5.0,-0.6794
A,delivery_reliability_led,CCR,error,1.34,3.0,8.0,5.0,-0.6794
A,delivery_reliability_led,CCR,lead,1.34,3.0,8.0,5.0,-0.6794
A,delivery_reliability_led,CCR,quality,1.34,3.0,8.0,5.0,-0.6794
A,delivery_reliability_led,CCR,ideal,1.34,3.0,8.0,5.0,-0.6794
A,delivery_reliability_led,CCR,nadir,1.34,3.0,8.0,5.0,-0.6794
A,product_quality_led,CCR,price,1.34,3.0,8.0,5.0,-0.6794
A,product_quality_led,CCR,late,1.34,3.0,8.0,5.0,-0.6794
A,product_quality_led,CCR,error,1.34,3.0,8.0,5.0,-0.6794
A,product_quality_led,CCR,lead,1.34,3.0,8.0,5.0,-0.6794
A,product_quality_led,CCR,quality,1.34,3.0,8.0,5.0,-0.6794
A,product_quality_led,CCR,ideal,1.34,3.0,8.0,5.0,-0.6794
A,product_quality_led,CCR,nadir,1.34,3.0,8.0,5.0,-0.6794
B,balanced_improvement,CCR,price,1.44,5.0,4.0,4.0,-0.6285
B,balanced_improvement,CCR,late,1.44,5.0,4.0,4.0,-0.6285
B,balanced_improvement,CCR,error,1.44,5.0,4.0,4.0,-0.6285
B,balanced_improvement,CCR,lead,1.44,5.0,4.0,4.0,-0.6285
B,balanced_improvement,CCR,quality,1.44,5.0,4.0,4.0,-0.6285
B,balanced_improvement,CCR,ideal,1.44,5.0,4.0,4.0,-0.6285
B,balanced_improvement,CCR,nadir,1.44,5.0,4.0,4.0,-0.6285
B,cost_led_development,CCR,price,1.44,5.0,4.0,4.0,-0.6285
B,cost_led_development,CCR,late,1.44,5.0,4.0,4.0,-0.6285
B,cost_led_development,CCR,error,1.44,5.0,4.0,4.0,-0.6285
B,cost_led_development,CCR,lead,1.44,5.0,4.0,4.0,-0.6285
B,cost_led_development,CCR,quality,1.44,5.0,4.0,4.0,-0.6285
B,cost_led_development,CCR,ideal,1.44,5.0,4.0,4.0,-0.6285
B,cost_led_development,CCR,nadir,1.44,5.0,4.0,4.0,-0.6285
B,delivery_reliability_led,CCR,price,1.44,5.0,4.0,4.0,-0.6285
B,delivery_reliability_led,CCR,late,1.44,5.0,4.0,4.0,-0.6285
B,delivery_reliability_led,CCR,error,1.44,5.0,4.0,4.0,-0.6285
B,delivery_reliability_led,CCR,lead,1.44,5.0,4.0,4.0,-0.6285
B,delivery_reliability_led,CCR,quality,1.44,5.0,4.0,4.0,-0.6285
B,delivery_reliability_led,CCR,ideal,1.44,5.0,4.0,4.0,-0.6285
B,delivery_reliability_led,CCR,nadir,1.44,5.0,4.0,4.0,-0.6285
B,product_quality_led,CCR,price,1.44,5.0,4.0,4.0,-0.6285
B,product_quality_led,CCR,late,1.44,5.0,4.0,4.0,-0.6285
B,product_quality_led,CCR,error,1.44,5.0,4.0,4.0,-0.6285
B,product_quality_led,CCR,lead,1.44,5.0,4.0,4.0,-0.6285
B,product_quality_led,CCR,quality,1.44,5.0,4.0,4.0,-0.6285
B,product_quality_led,CCR,ideal,1.44,5.0,4.0,4.0,-0.6285
B,product_quality_led,CCR,nadir,1.44,5.0,4.0,4.0,-0.6285
