supplier,scenario,rts,peer_supplier,lambda_value
A,balanced_improvement,CCR,A,1.0
A,cost_led_development,CCR,A,1.0
A,delivery_reliability_led,CCR,A,1.0
A,product_quality_led,CCR,A,1.0
B,balanced_improvement,CCR,B,1.0
B,cost_led_development,CCR,B,1.0
B,delivery_reliability_led,CCR,B,1.0
B,product_quality_led,CCR,B,1.0
G,balanced_improvement,CCR,G,1.0
G,cost_led_development,CCR,G,1.0
G,delivery_reliability_led,CCR,G,1.0
G,product_quality_led,CCR,G,1.0
H,balanced_improvement,CCR,H,1.0
H,cost_led_development,CCR,H,1.0
H,delivery_reliability_led,CCR,H,1.0
H,product_quality_led,CCR,H,1.0
I,balanced_improvement,CCR,I,1.0
I,cost_led_development,CCR,I,1.0
I,delivery_reliability_led,CCR,I,1.0
I,product_quality_led,CCR,I,1.0
D,balanced_improvement,CCR,A,0.00004315754472460959
D,balanced_improvement,CCR,B,0.44074152196886757
D,balanced_improvement,CCR,H,0.16304805536373682
D,balanced_improvement,CCR,I,0.15743465599041234
D,cost_led_development,CCR,A,0.00004178244563466715
D,cost_led_development,CCR,B,0.5994189842246637
D,cost_led_development,CCR,H,0.06951320442911409
D,cost_led_development,CCR,I,0.11854739257727016
D,delivery_reliability_led,CCR,A,0.00006232578343357006
D,delivery_reliability_led,CCR,B,0.22165006467645276
D,delivery_reliability_led,CCR,H,0.25012380703004833
D,delivery_reliability_led,CCR,I,0.26884560193478596
D,product_quality_led,CCR,A,0.000022759601669536022
D,product_quality_led,CCR,B,0.44456720120605786
D,product_quality_led,CCR,H,0.21614499382736407
D,product_quality_led,CCR,I,0.1910380456267733
E,balanced_improvement,CCR,B,0.08947692042067179
E,balanced_improvement,CCR,H,0.4573344416826752
E,cost_led_development,CCR,B,0.25079724848031626
E,cost_led_development,CCR,H,0.3280721091966575
E,delivery_reliability_led,CCR,H,0.5052028720412686
E,product_quality_led,CCR,H,0.614503677988027
C,balanced_improvement,CCR,A,0.16518360140630364
C,balanced_improvement,CCR,B,0.5094819168628435
C,balanced_improvement,CCR,H,0.1310501497166489
C,cost_led_development,CCR,A,0.21850980772075038
C,cost_led_development,CCR,B,0.6389969079761617
C,cost_led_development,CCR,H,0.00004938625896990748
C,cost_led_development,CCR,I,0.04720272214751874
C,delivery_reliability_led,CCR,A,0.15550236096219777
C,delivery_reliability_led,CCR,B,0.22860021061861505
C,delivery_reliability_led,CCR,H,0.2535177219909986
C,delivery_reliability_led,CCR,I,0.07975657021734832
C,product_quality_led,CCR,A,0.05537560226701228
C,product_quality_led,CCR,B,0.6684458388985539
C,product_quality_led,CCR,H,0.2143597421467227
K,balanced_improvement,CCR,A,0.021721104302301522
K,balanced_improvement,CCR,B,0.3545837211356523
K,balanced_improvement,CCR,H,0.03590860443851577
K,balanced_improvement,CCR,I,0.21531661952821535
K,cost_led_development,CCR,A,0.1037059144772582
K,cost_led_development,CCR,B,0.45503891436619726
K,cost_led_development,CCR,H,0.000032326329564489294
K,cost_led_development,CCR,I,0.018100966847718083
K,delivery_reliability_led,CCR,A,0.033669961022476394
K,delivery_reliability_led,CCR,B,0.16779380809115862
K,delivery_reliability_led,CCR,H,0.1321967627126418
K,delivery_reliability_led,CCR,I,0.18512054335194536
K,product_quality_led,CCR,A,0.13106104711250594
K,product_quality_led,CCR,B,0.3338982801327288
K,product_quality_led,CCR,H,0.1043610916069987
K,product_quality_led,CCR,I,0.10094507591601382
J,balanced_improvement,CCR,A,0.03234736217735743
J,balanced_improvement,CCR,B,0.6173332394581201
J,balanced_improvement,CCR,H,0.022801614572326514
J,balanced_improvement,CCR,I,0.09657471722851084
J,cost_led_development,CCR,A,0.222643967174412
J,cost_led_development,CCR,B,0.510676264580177
J,delivery_reliability_led,CCR,A,0.05547866201178873
J,delivery_reliability_led,CCR,B,0.3038452734952778
J,delivery_reliability_led,CCR,H,0.12644978133468837
J,delivery_reliability_led,CCR,I,0.16579205594017052
J,product_quality_led,CCR,A,0.056318605362311515
J,product_quality_led,CCR,B,0.7582652248338742
J,product_quality_led,CCR,H,0.06522179314778898
F,balanced_improvement,CCR,A,0.1311600411593379
F,balanced_improvement,CCR,B,0.3708014152524816
F,balanced_improvement,CCR,H,0.2655120737274682
F,balanced_improvement,CCR,I,0.016707103847899748
F,cost_led_development,CCR,A,0.1279256208643663
F,cost_led_development,CCR,B,0.5604756306602473
F,cost_led_development,CCR,H,0.04955663785457756
F,cost_led_development,CCR,I,0.2423180422793412
F,delivery_reliability_led,CCR,A,0.07429003245753976
F,delivery_reliability_led,CCR,B,0.14072416907965787
F,delivery_reliability_led,CCR,H,0.42026669894259283
F,delivery_reliability_led,CCR,I,0.026175059485328955
F,product_quality_led,CCR,A,0.06049289635808121
F,product_quality_led,CCR,B,0.4385992550072146
F,product_quality_led,CCR,H,0.4445797238568201
L,balanced_improvement,CCR,A,0.1248134095196497
L,balanced_improvement,CCR,B,0.7505740303814313
L,balanced_improvement,CCR,H,0.018256400779983747
L,balanced_improvement,CCR,I,0.1248248610491066
L,cost_led_development,CCR,A,0.47426649554743877
L,cost_led_development,CCR,B,0.4820877714677159
L,delivery_reliability_led,CCR,A,0.11901006153332576
L,delivery_reliability_led,CCR,B,0.36414293737890824
L,delivery_reliability_led,CCR,H,0.15657544178359029
L,delivery_reliability_led,CCR,I,0.211943849258914
L,product_quality_led,CCR,A,0.18199174068443486
L,product_quality_led,CCR,B,0.9290192831846183
L,product_quality_led,CCR,H,0.07026339209745233
