supplier,scenario,rts,peer_supplier,lambda_value,perturbed_parameter,perturbation_direction,delta
A,balanced_improvement,CCR,A,1.0,price,minus,0.05
A,cost_led_development,CCR,A,1.0,price,minus,0.05
A,delivery_reliability_led,CCR,A,1.0,price,minus,0.05
A,product_quality_led,CCR,A,1.0,price,minus,0.05
B,balanced_improvement,CCR,B,1.0,price,minus,0.05
B,cost_led_development,CCR,B,1.0,price,minus,0.05
B,delivery_reliability_led,CCR,B,1.0,price,minus,0.05
B,product_quality_led,CCR,B,1.0,price,minus,0.05
G,balanced_improvement,CCR,G,1.0,price,minus,0.05
G,cost_led_development,CCR,G,1.0,price,minus,0.05
G,delivery_reliability_led,CCR,G,1.0,price,minus,0.05
G,product_quality_led,CCR,G,1.0,price,minus,0.05
H,balanced_improvement,CCR,H,1.0,price,minus,0.05
H,cost_led_development,CCR,H,1.0,price,minus,0.05
H,delivery_reliability_led,CCR,H,1.0,price,minus,0.05
H,product_quality_led,CCR,H,1.0,price,minus,0.05
I,balanced_improvement,CCR,I,1.0,price,minus,0.05
I,cost_led_development,CCR,I,1.0,price,minus,0.05
I,delivery_reliability_led,CCR,I,1.0,price,minus,0.05
I,product_quality_led,CCR,I,1.0,price,minus,0.05
D,balanced_improvement,CCR,A,0.00004315754472220718,price,minus,0.05
D,balanced_improvement,CCR,B,0.4407415219688682,price,minus,0.05
D,balanced_improvement,CCR,H,0.16304805536373518,price,minus,0.05
D,balanced_improvement,CCR,I,0.15743465599041964,price,minus,0.05
D,cost_led_development,CCR,A,0.00004178244563216866,price,minus,0.05
D,cost_led_development,CCR,B,0.5994189842246638,price,minus,0.05
D,cost_led_development,CCR,H,0.06951320442911231,price,minus,0.05
D,cost_led_development,CCR,I,0.11854739257727878,price,minus,0.05
D,delivery_reliability_led,CCR,A,0.00006232578343185107,price,minus,0.05
D,delivery_reliability_led,CCR,B,0.22165006467645323,price,minus,0.05
D,delivery_reliability_led,CCR,H,0.2501238070300471,price,minus,0.05
D,delivery_reliability_led,CCR,I,0.26884560193479123,price,minus,0.05
D,product_quality_led,CCR,A,0.000022759601676363287,price,minus,0.05
D,product_quality_led,CCR,B,0.444567201206057,price,minus,0.05
D,product_quality_led,CCR,H,0.21614499382736835,price,minus,0.05
D,product_quality_led,CCR,I,0.191038045626752,price,minus,0.05
E,balanced_improvement,CCR,B,0.08947692042067179,price,minus,0.05
E,balanced_improvement,CCR,H,0.4573344416826752,price,minus,0.05
E,cost_led_development,CCR,B,0.2507972484803165,price,minus,0.05
E,cost_led_development,CCR,H,0.32807210919665736,price,minus,0.05
E,delivery_reliability_led,CCR,H,0.5052028720412686,price,minus,0.05
