supplier,scenario,rts,theta,active_criteria,current_price,current_late_pct,current_error_pct,current_lead_days,current_quality_score,current_purchase,target_price,target_late_pct,target_error_pct,target_lead_days,target_quality_score,target_purchase,price_improvement,late_improvement,error_improvement,lead_improvement,quality_gain,purchase_gain,perturbed_parameter,perturbation_direction,delta
A,balanced_improvement,CCR,0.0,"",1.273,3.0,8.0,5.0,0.6794,5640.8,1.273,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
A,cost_led_development,CCR,0.0,"",1.273,3.0,8.0,5.0,0.6794,5640.8,1.273,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
A,delivery_reliability_led,CCR,0.0,"",1.273,3.0,8.0,5.0,0.6794,5640.8,1.273,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
A,product_quality_led,CCR,0.0,"",1.273,3.0,8.0,5.0,0.6794,5640.8,1.273,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
B,balanced_improvement,CCR,0.0,"",1.3679999999999999,5.0,4.0,4.0,0.6285,38948.61,1.3679999999999999,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
B,cost_led_development,CCR,0.0,"",1.3679999999999999,5.0,4.0,4.0,0.6285,38948.61,1.3679999999999999,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
B,delivery_reliability_led,CCR,0.0,"",1.3679999999999999,5.0,4.0,4.0,0.6285,38948.61,1.3679999999999999,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
B,product_quality_led,CCR,0.0,"",1.3679999999999999,5.0,4.0,4.0,0.6285,38948.61,1.3679999999999999,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
G,balanced_improvement,CCR,0.0,"",1.273,1.0,3.0,2.0,0.1073,108124.5,1.273,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
G,cost_led_development,CCR,0.0,"",1.273,1.0,3.0,2.0,0.1073,108124.5,1.273,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
G,delivery_reliability_led,CCR,0.0,"",1.273,1.0,3.0,2.0,0.1073,108124.5,1.273,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
G,product_quality_led,CCR,0.0,"",1.273,1.0,3.0,2.0,0.1073,108124.5,1.273,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
H,balanced_improvement,CCR,0.0,"",4.845,2.0,3.0,3.0,0.7671,100241.16,4.845,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
H,cost_led_development,CCR,0.0,"",4.845,2.0,3.0,3.0,0.7671,100241.16,4.845,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
H,delivery_reliability_led,CCR,0.0,"",4.845,2.0,3.0,3.0,0.7671,100241.16,4.845,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
H,product_quality_led,CCR,0.0,"",4.845,2.0,3.0,3.0,0.7671,100241.16,4.845,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
I,balanced_improvement,CCR,0.0,"",1.3299999999999998,1.0,3.0,4.0,0.3522,21985.05,1.3299999999999998,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
I,cost_led_development,CCR,0.0,"",1.3299999999999998,1.0,3.0,4.0,0.3522,21985.05,1.3299999999999998,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
I,delivery_reliability_led,CCR,0.0,"",1.3299999999999998,1.0,3.0,4.0,0.3522,21985.05,1.3299999999999998,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
I,product_quality_led,CCR,0.0,"",1.3299999999999998,1.0,3.0,4.0,0.3522,21985.05,1.3299999999999998,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,price,minus,0.05
D,balanced_improvement,CCR,0.13915166525966852,"price,late,error,lead,quality",1.9094999999999998,9.0,3.0,5.0,0.4216,13574.56,1.6023452623123982,2.6873678491963977,2.7247594822957146,2.882064665651968,0.45755801690266495,36971.84808213736,0.3071547376876016,6.312632150803602,0.27524051770428537,2.117935334348032,0.03595801690266498,23397.288082137362,price,minus,0.05
D,cost_led_development,CCR,0.14373124289431535,"price,late,error,lead,quality",1.9094999999999998,9.0,3.0,5.0,0.4216,13574.56,1.3145178670594597,3.254794069895718,2.962191987482886,3.080614032723268,0.4718391893620533,32921.12653005437,0.59498213294054,5.745205930104282,0.037808012517114076,1.9193859672767322,0.05023918936205335,19346.56653005437,price,minus,0.05
D,delivery_reliability_led,CCR,0.09635600315381539,"price,late,error,lead,quality",1.9094999999999998,9.0,3.0,5.0,0.4216,13574.56,1.8727111248335473,1.8775305167274472,2.4440070918677828,2.7126657164522783,0.42590680316059704,39616.598053961694,0.03678887516645246,7.122469483272553,0.5559929081322172,2.2873342835477217,0.004306803160597061,26042.038053961696,price,minus,0.05
D,product_quality_led,CCR,0.11538561538461546,"price,late,error,lead,quality",1.9094999999999998,9.0,3.0,5.0,0.4216,13574.56,1.9094999999999998,2.8462323181168028,3.0,3.190969766821723,0.512514373266102,43182.008815382054,0.0,6.153767681883197,0.0,1.809030233178277,0.09091437326610208,29607.448815382057,price,minus,0.05
E,balanced_improvement,CCR,0.12034891038157744,"price,late,error,lead,quality",3.268,4.0,7.0,2.0,0.338,3249.0,2.33818979708804,1.3620534854687092,1.7299110067307126,1.7299110067307126,0.40705749469917235,49328.73661968949,0.9298102029119599,2.637946514531291,5.270088993269288,0.27008899326928737,0.06905749469917233,46079.73661968949,price,minus,0.05
E,cost_led_development,CCR,0.14721714873899266,"price,late,error,lead,quality",3.268,4.0,7.0,2.0,0.338,3249.0,1.9326000049788776,1.910130460794897,1.987405321511238,1.987405321511238,0.40929018563463476,42654.53300965254,1.3353999950211222,2.089869539205103,5.012594678488762,0.012594678488762057,0.07129018563463474,39405.53300965254,price,minus,0.05
E,delivery_reliability_led,CCR,0.07142957142857141,"price,late,error,lead,quality",3.268,4.0,7.0,2.0,0.338,3249.0,2.447707915039946,1.0104057440825371,1.5156086161238056,1.5156086161238056,0.3875411231428571,50642.12192874833,0.8202920849600539,2.9895942559174626,5.484391383876194,0.4843913838761944,0.04954112314285708,47393.12192874833,price,minus,0.05
E,product_quality_led,CCR,0.11538561538461538,"price,late,error,lead,quality",3.268,4.0,7.0,2.0,0.338,3249.0,2.9772703198519905,1.229007355976054,1.8435110339640808,1.8435110339640808,0.47138577138461546,61598.56150578629,0.29072968014800926,2.770992644023946,5.156488966035919,0.15648896603591922,0.13338577138461544,58349.56150578629,price,minus,0.05
C,balanced_improvement,CCR,0.12022996013075667,"price,late,error,lead,quality",2.0235,6.0,6.0,4.0,0.4359,2714.73,1.5421879622357582,3.305060687966426,3.7525469278517507,3.256996123632839,0.5329636933913812,33911.99916652654,0.4813120377642417,2.694939312033574,2.2474530721482493,0.7430038763671609,0.09706369339138116,31197.26916652654,price,minus,0.05
