supplier,scenario,robustness_index_parameter,theta_min,theta_max,target_price_range,target_late_range,target_error_range,target_lead_range,target_quality_range,target_purchase_range,run_count
A,balanced_improvement,0.0,0.0,0.0,0.13400000000000034,0.3000000000000007,0.8000000000000007,0.5,0.06794000000000011,0.0,10
A,cost_led_development,0.0,0.0,0.0,0.13400000000000034,0.3000000000000007,0.8000000000000007,0.5,0.06794000000000011,0.0,10
A,delivery_reliability_led,0.0,0.0,0.0,0.13400000000000034,0.3000000000000007,0.8000000000000007,0.5,0.06794000000000011,0.0,10
A,product_quality_led,0.0,0.0,0.0,0.13400000000000034,0.3000000000000007,0.8000000000000007,0.5,0.06794000000000011,0.0,10
B,balanced_improvement,0.0,0.0,0.0,0.14400000000000013,0.5,0.40000000000000036,0.40000000000000036,0.06285000000000007,0.0,10
B,cost_led_development,0.0,0.0,0.0,0.14400000000000013,0.5,0.40000000000000036,0.40000000000000036,0.06285000000000007,0.0,10
B,delivery_reliability_led,0.0,0.0,0.0,0.14400000000000013,0.5,0.40000000000000036,0.40000000000000036,0.06285000000000007,0.0,10
B,product_quality_led,0.0,0.0,0.0,0.14400000000000013,0.5,0.40000000000000036,0.40000000000000036,0.06285000000000007,0.0,10
C,balanced_improvement,1.069961080215131e-33,0.12022996013075662,0.12022996013075675,0.16233557497218531,0.3305060687966428,0.3752546927851754,0.3256996123632834,0.05329636933913817,3.637978807091713e-11,10
C,cost_led_development,4.065852104817498e-34,0.11560192212279193,0.115601922122792,0.12792943707587523,0.38978154577085045,0.4445822418890115,0.3837495717875381,0.056672780296810665,2.1827872842550278e-11,10
C,delivery_reliability_led,2.995891024602367e-34,0.08521226698343227,0.08521226698343232,0.19421570474385264,0.21963001501790158,0.31582426067970903,0.2771492094127894,0.04718872449813616,4.3655745685100555e-11,10
C,product_quality_led,3.2441219952122775e-32,0.11728619536089002,0.11728619536089051,0.21300000000000008,0.39370754855872514,0.37598674001705135,0.3593740593369428,0.06221757521287008,6.548361852765083e-11,10
